epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3133.94,1.15437,0.77167,1.1407,0.64268,0.58924,0.60546,0.34984,1.37881,0.7899,1.2144,7.85792e-05,7.85792e-05,7.85792e-05
41,3198.28,1.14782,0.76295,1.13468,0.61783,0.57433,0.58104,0.33232,1.38496,0.80072,1.21293,7.7312e-05,7.7312e-05,7.7312e-05
42,3262.02,1.14107,0.7546,1.12662,0.58642,0.58722,0.57442,0.33928,1.37977,0.7822,1.21817,7.60448e-05,7.60448e-05,7.60448e-05
43,3325.8,1.12597,0.755,1.13254,0.65615,0.53624,0.58277,0.34621,1.34052,0.78798,1.20081,7.47776e-05,7.47776e-05,7.47776e-05
44,3389.86,1.13032,0.76342,1.13592,0.64169,0.5326,0.57598,0.32513,1.43619,0.80066,1.23353,7.35104e-05,7.35104e-05,7.35104e-05
45,3453.58,1.10418,0.73741,1.12489,0.68077,0.54981,0.59985,0.35475,1.35203,0.74043,1.20054,7.22432e-05,7.22432e-05,7.22432e-05
46,3517.85,1.11938,0.74236,1.11879,0.61228,0.61766,0.61784,0.35967,1.3902,0.78268,1.20584,7.0976e-05,7.0976e-05,7.0976e-05
47,3582,1.08465,0.71582,1.1101,0.5665,0.58212,0.54747,0.32908,1.36859,0.78297,1.19751,6.97088e-05,6.97088e-05,6.97088e-05
48,3645.52,1.09151,0.72082,1.11315,0.62676,0.57886,0.58692,0.34257,1.38264,0.79402,1.20063,6.84416e-05,6.84416e-05,6.84416e-05
49,3709.06,1.09002,0.72337,1.10899,0.60151,0.66369,0.60943,0.36201,1.32086,0.72964,1.17115,6.71744e-05,6.71744e-05,6.71744e-05
50,3772.81,1.08463,0.71147,1.10592,0.68971,0.56353,0.5949,0.34547,1.3359,0.74821,1.18219,6.59072e-05,6.59072e-05,6.59072e-05
51,3836.34,1.09063,0.71786,1.10918,0.64241,0.55043,0.57854,0.34403,1.33167,0.75175,1.18491,6.464e-05,6.464e-05,6.464e-05
52,3900.11,1.06175,0.69232,1.09875,0.61505,0.60383,0.59834,0.34555,1.36655,0.75929,1.19529,6.33728e-05,6.33728e-05,6.33728e-05
53,3963.66,1.06861,0.70079,1.10358,0.58482,0.57744,0.57461,0.34742,1.3236,0.76374,1.17293,6.21056e-05,6.21056e-05,6.21056e-05
