epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1334,2.06112,5.17697,1.8439,0.27517,0.03988,0.15764,0.07729,1.9936,4.94215,1.73509,4.23619e-05,4.23619e-05,4.23619e-05
2,78.0174,1.86624,4.55385,1.61317,0.24197,0.28603,0.20745,0.09069,2.03015,2.81667,1.71059,8.41868e-05,8.41868e-05,8.41868e-05
3,116.546,1.95031,3.33512,1.62833,0.29989,0.29291,0.2914,0.13123,2.01883,2.10973,1.70186,0.000125167,0.000125167,0.000125167
4,154.993,1.89024,2.78145,1.63616,0.25687,0.3795,0.30106,0.12914,1.96568,1.76796,1.68808,0.000124198,0.000124198,0.000124198
5,193.242,1.83686,2.44243,1.61973,0.31251,0.33442,0.31688,0.14108,1.90425,1.61318,1.65451,0.000122931,0.000122931,0.000122931
6,231.991,1.81709,2.29717,1.60437,0.31547,0.37055,0.33727,0.15458,1.86094,1.57359,1.63445,0.000121664,0.000121664,0.000121664
7,270.276,1.74474,2.22262,1.56008,0.36156,0.42215,0.36546,0.17216,1.83301,1.43748,1.60169,0.000120397,0.000120397,0.000120397
8,308.501,1.73205,2.06065,1.55494,0.39757,0.40307,0.3792,0.18064,1.81112,1.40171,1.58493,0.00011913,0.00011913,0.00011913
9,350.495,1.70277,1.93658,1.54782,0.38107,0.41523,0.3858,0.18596,1.79343,1.35129,1.57919,0.000117862,0.000117862,0.000117862
10,391.231,1.67811,1.94663,1.52581,0.43323,0.43667,0.40913,0.19766,1.78052,1.35724,1.55216,0.000116595,0.000116595,0.000116595
11,430.758,1.65073,1.88288,1.51746,0.45888,0.46002,0.45168,0.20699,1.78689,1.38842,1.56243,0.000115328,0.000115328,0.000115328
12,469.655,1.63895,1.83912,1.5104,0.47868,0.48932,0.44469,0.21632,1.73248,1.29761,1.52306,0.000114061,0.000114061,0.000114061
13,508.103,1.6164,1.76682,1.48736,0.49998,0.44133,0.45489,0.21997,1.72795,1.26624,1.51114,0.000112794,0.000112794,0.000112794
14,546.351,1.61467,1.77358,1.47696,0.47383,0.5373,0.45444,0.22104,1.74927,1.2488,1.53155,0.000111526,0.000111526,0.000111526
15,584.747,1.59229,1.69994,1.46129,0.50958,0.47461,0.47286,0.22316,1.75338,1.27074,1.52418,0.000110259,0.000110259,0.000110259
16,622.912,1.58094,1.71958,1.46223,0.53863,0.49328,0.50035,0.24271,1.74314,1.19708,1.49454,0.000108992,0.000108992,0.000108992
17,661.258,1.57144,1.66151,1.44182,0.55694,0.51142,0.51631,0.24593,1.69272,1.1749,1.48052,0.000107725,0.000107725,0.000107725
18,699.36,1.5538,1.60582,1.44233,0.59026,0.51194,0.51724,0.24481,1.68082,1.1922,1.47626,0.000106458,0.000106458,0.000106458
19,737.64,1.53704,1.58325,1.42637,0.47965,0.4859,0.45692,0.22256,1.72059,1.22361,1.5031,0.00010519,0.00010519,0.00010519
20,776.135,1.55549,1.5671,1.41978,0.53118,0.51882,0.48702,0.24427,1.67695,1.20211,1.47169,0.000103923,0.000103923,0.000103923
21,814.337,1.53011,1.57138,1.40782,0.5105,0.55413,0.49565,0.24507,1.64667,1.14515,1.44958,0.000102656,0.000102656,0.000102656
22,852.502,1.5286,1.54782,1.41327,0.52368,0.48491,0.49745,0.24507,1.65479,1.11822,1.45938,0.000101389,0.000101389,0.000101389
23,890.699,1.51691,1.52819,1.40702,0.54239,0.5225,0.50669,0.25433,1.66087,1.1268,1.44521,0.000100122,0.000100122,0.000100122
24,929.066,1.50976,1.48531,1.39705,0.48656,0.54835,0.48998,0.24712,1.65305,1.18089,1.43551,9.88544e-05,9.88544e-05,9.88544e-05
25,967.261,1.49583,1.50783,1.38485,0.54226,0.50086,0.51216,0.25513,1.62699,1.1038,1.40427,9.75872e-05,9.75872e-05,9.75872e-05
26,1005.92,1.49652,1.47446,1.37956,0.5505,0.50607,0.49988,0.2491,1.68521,1.13639,1.44793,9.632e-05,9.632e-05,9.632e-05
27,1044.04,1.47676,1.44131,1.38207,0.47721,0.55128,0.49673,0.2496,1.65967,1.10446,1.43644,9.50528e-05,9.50528e-05,9.50528e-05
28,1082.2,1.47634,1.43593,1.36795,0.54683,0.51975,0.5207,0.25043,1.66854,1.12976,1.41944,9.37856e-05,9.37856e-05,9.37856e-05
29,1120.35,1.47601,1.4263,1.37511,0.56041,0.49486,0.51888,0.2558,1.64992,1.09541,1.4524,9.25184e-05,9.25184e-05,9.25184e-05
30,1158.69,1.46161,1.39559,1.3608,0.53891,0.54651,0.53658,0.26646,1.61628,1.06394,1.39899,9.12512e-05,9.12512e-05,9.12512e-05
31,1196.84,1.45395,1.39078,1.36078,0.56331,0.52708,0.51209,0.26008,1.60883,1.0807,1.39107,8.9984e-05,8.9984e-05,8.9984e-05
32,1234.94,1.4377,1.35699,1.34516,0.52974,0.51383,0.50897,0.26218,1.60393,1.09973,1.38602,8.87168e-05,8.87168e-05,8.87168e-05
33,1273.18,1.44925,1.37258,1.34357,0.52985,0.4872,0.52165,0.26395,1.62393,1.10777,1.39957,8.74496e-05,8.74496e-05,8.74496e-05
