epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,1314.68,1.4295,1.37887,1.34067,0.64087,0.47084,0.52975,0.26896,1.59894,1.04038,1.37941,8.61824e-05,8.61824e-05,8.61824e-05
35,1353.45,1.42471,1.33668,1.33256,0.51429,0.53629,0.51556,0.27133,1.57459,1.04376,1.38372,8.49152e-05,8.49152e-05,8.49152e-05
36,1391.52,1.43388,1.32992,1.33542,0.51061,0.52568,0.52199,0.27507,1.57219,1.02827,1.36406,8.3648e-05,8.3648e-05,8.3648e-05
37,1429.63,1.42219,1.31142,1.3258,0.58511,0.52696,0.54601,0.28644,1.58245,1.03652,1.36271,8.23808e-05,8.23808e-05,8.23808e-05
38,1467.69,1.40795,1.29482,1.31693,0.52785,0.55344,0.52361,0.27452,1.57923,1.03971,1.3644,8.11136e-05,8.11136e-05,8.11136e-05
39,1505.77,1.4149,1.30656,1.31969,0.53952,0.5694,0.52487,0.27847,1.56672,1.0726,1.36216,7.98464e-05,7.98464e-05,7.98464e-05
40,1543.74,1.40883,1.2728,1.31073,0.56084,0.49601,0.52631,0.27681,1.59169,1.03386,1.36365,7.85792e-05,7.85792e-05,7.85792e-05
41,1582.24,1.40661,1.25211,1.30198,0.56542,0.52297,0.53057,0.28072,1.55053,1.0027,1.33867,7.7312e-05,7.7312e-05,7.7312e-05
42,1620.42,1.41103,1.2626,1.30326,0.50049,0.52936,0.53158,0.27918,1.57136,0.99979,1.35498,7.60448e-05,7.60448e-05,7.60448e-05
43,1658.52,1.38495,1.25175,1.30018,0.56346,0.5323,0.54048,0.28412,1.56918,0.99725,1.35385,7.47776e-05,7.47776e-05,7.47776e-05
44,1696.42,1.3943,1.27158,1.30803,0.54883,0.51936,0.51517,0.27428,1.54695,1.00741,1.33831,7.35104e-05,7.35104e-05,7.35104e-05
45,1734.52,1.36079,1.23389,1.29071,0.5578,0.54107,0.5255,0.27853,1.53839,0.99951,1.31868,7.22432e-05,7.22432e-05,7.22432e-05
46,1773.7,1.38314,1.22524,1.2877,0.60861,0.54985,0.55795,0.29436,1.55271,0.96984,1.33611,7.0976e-05,7.0976e-05,7.0976e-05
47,1812.81,1.35997,1.20302,1.28418,0.5187,0.56129,0.5467,0.28938,1.55405,0.97916,1.34693,6.97088e-05,6.97088e-05,6.97088e-05
48,1851.27,1.36225,1.22109,1.2873,0.58035,0.52667,0.53008,0.27531,1.60304,1.0111,1.35555,6.84416e-05,6.84416e-05,6.84416e-05
49,1889.61,1.35882,1.2198,1.28182,0.64067,0.54666,0.5649,0.29975,1.53495,0.95886,1.32278,6.71744e-05,6.71744e-05,6.71744e-05
50,1927.95,1.36335,1.17424,1.27689,0.53504,0.5578,0.52358,0.28538,1.49783,0.96025,1.30903,6.59072e-05,6.59072e-05,6.59072e-05
51,1966.15,1.37314,1.19959,1.28083,0.58934,0.54672,0.54067,0.28429,1.54701,0.9762,1.33388,6.464e-05,6.464e-05,6.464e-05
52,2004.4,1.33914,1.16734,1.26775,0.56757,0.55345,0.54676,0.29512,1.52053,0.97033,1.3067,6.33728e-05,6.33728e-05,6.33728e-05
53,2042.76,1.35214,1.18223,1.2765,0.53867,0.57784,0.53788,0.28584,1.51425,0.95711,1.31691,6.21056e-05,6.21056e-05,6.21056e-05
54,2080.95,1.34198,1.16046,1.27327,0.57626,0.53412,0.54663,0.28988,1.55263,0.97452,1.33259,6.08384e-05,6.08384e-05,6.08384e-05
55,2119.1,1.33574,1.1563,1.26778,0.62891,0.53027,0.54738,0.29154,1.51657,0.95083,1.30413,5.95712e-05,5.95712e-05,5.95712e-05
56,2157.26,1.34079,1.16816,1.2656,0.57159,0.55167,0.54127,0.2911,1.5224,0.95892,1.31006,5.8304e-05,5.8304e-05,5.8304e-05
57,2195.35,1.31848,1.16052,1.26515,0.62281,0.51402,0.53553,0.28466,1.52603,0.95245,1.32084,5.70368e-05,5.70368e-05,5.70368e-05
58,2233.55,1.32128,1.14866,1.25414,0.60361,0.52705,0.53844,0.28975,1.4865,0.9507,1.2987,5.57696e-05,5.57696e-05,5.57696e-05
59,2271.59,1.30929,1.15327,1.25252,0.59943,0.54526,0.54579,0.29271,1.52557,0.94675,1.31437,5.45024e-05,5.45024e-05,5.45024e-05
60,2309.97,1.30197,1.12169,1.25511,0.57166,0.57222,0.55213,0.29729,1.50852,0.95034,1.2896,5.32352e-05,5.32352e-05,5.32352e-05
61,2348.06,1.32601,1.13554,1.25266,0.58287,0.56259,0.54939,0.29112,1.51044,0.94874,1.30201,5.1968e-05,5.1968e-05,5.1968e-05
62,2386.23,1.30921,1.13421,1.2489,0.59742,0.52384,0.53513,0.28597,1.52647,0.95218,1.31305,5.07008e-05,5.07008e-05,5.07008e-05
63,2424.52,1.32262,1.12423,1.24711,0.59499,0.55137,0.54494,0.29557,1.48441,0.9375,1.28543,4.94336e-05,4.94336e-05,4.94336e-05
64,2462.72,1.29885,1.09953,1.24737,0.60095,0.56188,0.54711,0.30147,1.48027,0.91822,1.28284,4.81664e-05,4.81664e-05,4.81664e-05
65,2500.92,1.29763,1.11264,1.24387,0.58419,0.58851,0.55069,0.2992,1.48183,0.93083,1.28003,4.68992e-05,4.68992e-05,4.68992e-05
66,2539.07,1.29268,1.10254,1.24027,0.59969,0.54346,0.55729,0.30761,1.47901,0.91919,1.287,4.5632e-05,4.5632e-05,4.5632e-05
67,2578.56,1.2948,1.08121,1.23188,0.61535,0.55568,0.56669,0.3033,1.48693,0.91049,1.28273,4.43648e-05,4.43648e-05,4.43648e-05
68,2617.39,1.30362,1.09587,1.24007,0.65626,0.52792,0.57132,0.30841,1.46972,0.91093,1.27491,4.30976e-05,4.30976e-05,4.30976e-05
69,2655.54,1.28516,1.07904,1.23092,0.53801,0.58852,0.54741,0.30244,1.46369,0.91182,1.26356,4.18304e-05,4.18304e-05,4.18304e-05
70,2693.72,1.28477,1.08193,1.2291,0.56484,0.59456,0.55073,0.30503,1.46097,0.89962,1.27004,4.05632e-05,4.05632e-05,4.05632e-05
71,2732.52,1.278,1.06865,1.22805,0.58717,0.56692,0.56058,0.30534,1.46789,0.89053,1.27086,3.9296e-05,3.9296e-05,3.9296e-05
72,2772.54,1.28347,1.06619,1.2369,0.57319,0.58359,0.54219,0.29881,1.49096,0.92578,1.28678,3.80288e-05,3.80288e-05,3.80288e-05
73,2810.75,1.27426,1.06612,1.2261,0.58711,0.53832,0.55267,0.30671,1.45147,0.89023,1.26853,3.67616e-05,3.67616e-05,3.67616e-05
74,2849.03,1.27071,1.07076,1.22249,0.58788,0.55712,0.54783,0.30248,1.45758,0.90865,1.26368,3.54944e-05,3.54944e-05,3.54944e-05
75,2887.63,1.29131,1.06901,1.23053,0.6173,0.52852,0.55412,0.3061,1.44477,0.90452,1.25108,3.42272e-05,3.42272e-05,3.42272e-05
76,2926.2,1.26338,1.0665,1.22077,0.57963,0.5723,0.56121,0.30698,1.4585,0.89959,1.25717,3.296e-05,3.296e-05,3.296e-05
77,2964.47,1.26278,1.05007,1.21737,0.57192,0.58087,0.56116,0.30549,1.45848,0.8917,1.26407,3.16928e-05,3.16928e-05,3.16928e-05
78,3002.76,1.2567,1.05551,1.21518,0.53866,0.61269,0.54764,0.30251,1.4553,0.90602,1.25889,3.04256e-05,3.04256e-05,3.04256e-05
79,3041.14,1.26303,1.04503,1.22329,0.54419,0.6098,0.55785,0.30033,1.44686,0.89104,1.25172,2.91584e-05,2.91584e-05,2.91584e-05
80,3079.49,1.26245,1.04779,1.21671,0.53384,0.60821,0.54992,0.30237,1.44127,0.89115,1.24746,2.78912e-05,2.78912e-05,2.78912e-05
81,3118.01,1.25694,1.02504,1.2107,0.608,0.5504,0.55769,0.30332,1.45132,0.89422,1.25244,2.6624e-05,2.6624e-05,2.6624e-05
82,3156.24,1.26603,1.03396,1.21577,0.57382,0.54824,0.55409,0.30246,1.45668,0.89041,1.25899,2.53568e-05,2.53568e-05,2.53568e-05
83,3194.43,1.24204,1.0285,1.20856,0.62742,0.54875,0.56598,0.30849,1.43824,0.88478,1.24458,2.40896e-05,2.40896e-05,2.40896e-05
84,3232.55,1.25043,1.03713,1.2187,0.54103,0.56469,0.54716,0.30192,1.45088,0.89514,1.2549,2.28224e-05,2.28224e-05,2.28224e-05
85,3270.83,1.24558,1.04162,1.21005,0.59918,0.56977,0.56336,0.31273,1.44216,0.88647,1.24609,2.15552e-05,2.15552e-05,2.15552e-05
86,3309.11,1.24012,1.01033,1.19443,0.56652,0.59244,0.55612,0.3071,1.42298,0.88061,1.23701,2.0288e-05,2.0288e-05,2.0288e-05
87,3349.53,1.22804,1.01679,1.20112,0.61356,0.5378,0.54984,0.30591,1.44464,0.89306,1.24981,1.90208e-05,1.90208e-05,1.90208e-05
88,3388.6,1.23817,1.0206,1.19882,0.60228,0.59476,0.55788,0.30767,1.42399,0.88023,1.23926,1.77536e-05,1.77536e-05,1.77536e-05
89,3427.16,1.22353,1.00178,1.19644,0.56765,0.59,0.55363,0.30704,1.42924,0.87587,1.24237,1.64864e-05,1.64864e-05,1.64864e-05
90,3465.36,1.23367,1.01342,1.20625,0.59398,0.59897,0.56751,0.3081,1.44017,0.87975,1.24473,1.52192e-05,1.52192e-05,1.52192e-05
91,3529.11,1.30116,1.03629,1.23336,0.60316,0.57786,0.55514,0.29925,1.46955,0.9453,1.26052,1.3952e-05,1.3952e-05,1.3952e-05
92,3566.93,1.24841,0.95278,1.20167,0.58775,0.59429,0.54598,0.29712,1.45404,0.92663,1.25113,1.26848e-05,1.26848e-05,1.26848e-05
93,3605.08,1.22968,0.92866,1.19738,0.6184,0.57423,0.54877,0.29932,1.43985,0.91629,1.24288,1.14176e-05,1.14176e-05,1.14176e-05
94,3643.31,1.22832,0.93325,1.19343,0.60926,0.56004,0.54197,0.2999,1.42806,0.91273,1.23526,1.01504e-05,1.01504e-05,1.01504e-05
95,3681.18,1.22148,0.93249,1.18715,0.56102,0.60291,0.5468,0.30245,1.42509,0.9035,1.23206,8.8832e-06,8.8832e-06,8.8832e-06
96,3719.04,1.20759,0.91429,1.17549,0.58458,0.62032,0.54915,0.30245,1.42383,0.90195,1.23031,7.616e-06,7.616e-06,7.616e-06
97,3756.86,1.20701,0.91104,1.17727,0.56868,0.59759,0.54559,0.30177,1.41855,0.90045,1.22829,6.3488e-06,6.3488e-06,6.3488e-06
98,3795.02,1.20632,0.90656,1.18242,0.59358,0.59186,0.55245,0.3023,1.43062,0.90541,1.23516,5.0816e-06,5.0816e-06,5.0816e-06
99,3833.73,1.18331,0.8797,1.16245,0.61198,0.57728,0.54761,0.30232,1.41858,0.89884,1.22929,3.8144e-06,3.8144e-06,3.8144e-06
100,3872.45,1.19638,0.89405,1.1692,0.61106,0.57356,0.5514,0.30239,1.42497,0.90331,1.23456,2.5472e-06,2.5472e-06,2.5472e-06
